AG,2.761,"Ann. Glaciol.","Annals of Glaciology"
AS,1.394,"Antarct. Sci.","Antarctic Science"
CD,3.774,"Clim. Dynam.","Climate Dynamics"
CP,3.174,"Clim. Past.","Climate of the Past"
EPSL,4.581,"Earth Planet. Sc. Lett.","Earth and Planetary Science Letters"
ESD,3.769,"Earth Syst. Dynam.","Earth System Dynamics"
GMD,4.252,"Geosci. Model Dev.","Geoscientific Model Development"
GPC,3.982,"Global Planet. Change","Global and Planetary Change"
GRL,4.339,"Geophys. Res. Lett.","Geophysical Research Letters"
JG,3.200,"J. Glaciol.","Journal of Glaciology"
JQS,2.324,"J. Quaternary Sci.","Journal of Quaternary Science"
JRGA,3.380,"J. Geophys. Res.-Atmos.","Journal of Geophysical Research: Atmospheres"
JRGES,3.337,"J. Geophys. Res.-Earth","Journal of Geophysical Research: Earth Surface"
JRGO,2.711,"J. Geophys. Res.-Oceans","Journal of Geophysical Research: Oceans"
N,41.577,"Nature","Nature"
NC,12.353,"Nat. Commun.","Nature Communications"
NCC,19.181,"Nat. Clim. Change","Nature Climate Change"
PNAS,9.504,"P. Natl. Acad. Sci.","Proceedings of the National Academy of Sciences"
PTRSA,2.746,"Philos. T. Roy. Soc. A","Philosophical Transactions of the Royal Society A"
QSR,4.334,"Quaternary Sci. Rev.","Quaternary Science Reviews"
SA,11.511,"Sci. Advances","Science Advances"
SR,4.122,"Sci. Rep.","Scientific Reports"
TC,4.524,"Cryosphere","The Cryosphere"
